#SpT,Teff_SpT,logT,BCv,Mv,logL,B-V,Bt-Vt,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,W1-W2,W1-W3,W1-W4
O3V,46000,4.663,-4.05,-5.7,5.8,-0.32,0,-1.22,0,0,0,0,0,0,0,0,0,0,0,-9.75,0,0,0,0,0
O4V,43000,4.633,-3.92,-5.5,5.67,-0.32,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,-9.42,0,0,0,0,0
O5V,41500,4.618,-3.77,-5.4,5.58,-0.32,0,-1.19,0,0,0,0,0,0,0,0,0,0,0,-9.2,0,0,0,0,0
O5.5V,40000,4.602,-3.65,-5.2,5.46,-0.32,0,-1.18,0,0,0,0,0,0,0,0,0,0,0,-8.9,0,0,0,0,0
O6V,39000,4.591,-3.57,-5.1,5.37,-0.32,0,-1.17,0,0,0,0,0,0,0,0,0,0,0,-8.67,0,0,0,0,0
O6.5V,37300,4.573,-3.45,-4.9,5.24,-0.32,0,-1.16,0,0,0,0,0,0,0,0,0,0,0,-8.35,0,0,0,0,0
O7V,36500,4.562,-3.38,-4.8,5.17,-0.32,0,-1.15,0,0,0,0,0,0,0,0,0,0,0,-8.18,0,0,0,0,0
O7.5V,35000,4.544,-3.26,-4.6,5.05,-0.32,0,-1.14,0,0,0,0,0,0,0,0,0,0,0,-7.87,0,0,0,0,0
O8V,34500,4.538,-3.22,-4.5,4.99,-0.32,0,-1.13,0,0,0,0,0,0,0,0,0,0,0,-7.72,0,0,0,0,0
O8.5V,33000,4.519,-3.13,-4.3,4.87,-0.32,0,-1.12,0,0,0,0,0,0,0,0,0,0,0,-7.43,0,0,0,0,0
O9V,32500,4.512,-3.09,-4.2,4.82,-0.318,0,-1.114,0,-0.369,-1,-0.164,-0.071,0,19.6,6.6*,-0.128,-3.44,-3.2,-7.29,0,0,0,0,0
O9.5V,32000,4.505,-3.05,-4.1,4.76,-0.312,0,-1.087,0,-0.361,-0.977,-0.161,-0.069,0,18,6.7*,-0.125,-3.35,-3.12,-7.15,0,0,0,0,0
B0V,31500,4.498,-3.02,-4,4.65,-0.307,0,-1.067,0,-0.355,-0.958,-0.159,-0.067,0,17.5,6.8*,-0.121,-3.27,-3.04,-6.79,0,0,0,0,0
B0.5V,29000,4.462,-2.87,-3.6,4.47,-0.295,0,-1.026,0,-0.338,-0.913,-0.153,-0.063,0,15,6.9*,-0.12,-2.9,-2.69,-6.43,0,0,0,0,0
B1V,26000,4.415,-2.61,-3.1,4.13,-0.278,0,-0.995,-0.115,-0.325,-0.874,-0.148,-0.059,0,11,7.0*,-0.114,-2.43,-2.23,-5.68,0,0,0,0,0
B1.5V,24500,4.389,-2.43,-2.8,3.89,-0.252,-0.274,-0.91,-0.114,-0.281,-0.752,-0.132,-0.047,0.035,10,7.1*,-0.105,-2.23,-2.05,-5.24,0,0,0,0,0
B2V,20600,4.314,-2.06,-1.7,3.38,-0.21,-0.219,-0.79,-0.094,-0.23,-0.602,-0.113,-0.032,0.036,7.3,7.2*,-0.096,-1.24,-1.1,-3.71,0,0,0,0,0
B2.5V,18500,4.267,-1.79,-1.4,3.1,-0.198,-0.206,-0.732,-0.087,-0.21,-0.544,-0.105,-0.026,0.036,6.1,7.3*,-0.09,-0.99,-0.86,-3.15,0,0,0,0,0
B3V,17000,4.23,-1.58,-1.1,2.96,-0.178,-0.184,-0.673,-0.08,-0.192,-0.492,-0.098,-0.021,0.036,5.4,7.4*,-0.085,-0.73,-0.61,-2.64,0,0,0,0,0
B4V,16700,4.223,-1.53,-1,2.91,-0.165,-0.17,-0.619,-0.074,-0.176,-0.447,-0.092,-0.016,0.036,5,7.5*,-0.081,-0.66,-0.55,-2.52,0,0,0,0,0
B5V,15700,4.196,-1.35,-0.9,2.8,-0.156,-0.16,-0.581,-0.07,-0.165,-0.417,-0.089,-0.013,0.036,4.6,7.7*,-0.075,-0.59,-0.48,-2.25,0,0,-0.045,-0.117,-0.07
B6V,14500,4.161,-1.16,-0.5,2.54,-0.14,-0.142,-0.504,-0.062,-0.145,-0.358,-0.081,-0.007,0.035,4,7.8*,-0.068,-0.23,-0.14,-1.66,0,0,-0.045,-0.117,-0.07
B7V,14000,4.146,-1.07,-0.4,2.49,-0.128,-0.129,-0.459,-0.058,-0.133,-0.325,-0.077,-0.004,0.035,3.9,7.9*,-0.061,-0.16,-0.08,-1.47,0,0,-0.045,-0.117,-0.07
